PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
126,2021-06-06,18:09:57.46,4,1,"Hickert, Grayson ",1000054732,Right,FC_OB,"Hutchins, Ben",1000100020,Right,SPA_B,Undefined,4,Bottom,1,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Single,0,1,,81.94045,-1.529856,-3.231285,1971.560962,217.835864,1:15,5.82206,2.48541,6.88741,-28.58143,10.97733,7.69178,2.04389,0.17927,76.24506,-6.905508,-1.826314,0.452681,103.8406,5.963023,-27.911329,1899.353102,,,,124.09473,,-30.907973,0.893373,-4.90441,6.54678,-2.28373,50,5.71477,6.48535,-119.18841,-3.91352,-7.15447,19.88164,-22.6238,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,ee2302b0-c713-11eb-8b21-2587103ee89a,83.26482,5.34655,,5.69539,,,,3.21287,2.52549,-0.42065,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:09:57.46,2021-06-06T18:09:57.4602020-04:00,2021-06-06T22:09:57.4602020Z,GroundBall,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,905793f8-9f01-4c47-a304-2f4c0a477a8c,53.6132,-119.78961,9.94082,5.82277,-3.22941,-11.3119,-2.48311,6.70169,-3.57723,,3.3064,132.4281,-19.07875,,,,,,,2.59924,14.69558,-19.79061,,,,,,,-0.384,-71.47574,0.58116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
127,2021-06-06,18:10:49.05,5,1,"Hickert, Grayson ",1000054732,Right,FC_OB,"Sueltz, Keegan",1000098161,Left,SPA_B,Undefined,4,Bottom,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,67.35174,3.24481,-2.345978,1716.720411,98.584503,9:15,5.4882,2.66721,6.10262,-58.36283,2.87575,-6.74772,3.63113,-0.06585,61.9296,-7.54896,-3.558888,0.563228,,,,,,,,,,,,2.81831,1.19012,-2.48342,50,5.70771,4.21319,-97.67849,4.0297,2.72459,15.29364,-31.02351,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,0ce30510-c714-11eb-8b21-2587103ee89a,66.92221,,,5.42214,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:10:49.05,2021-06-06T18:10:49.0597156-04:00,2021-06-06T22:10:49.0597156Z,,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,c4002969-2f50-4772-8b5c-372a6ad742b6,54.39528,-98.36426,7.64682,5.49583,5.42079,-15.51176,-2.6696,4.09102,1.3623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
128,2021-06-06,18:11:05.72,5,2,"Hickert, Grayson ",1000054732,Right,FC_OB,"Sueltz, Keegan",1000098161,Left,SPA_B,Undefined,4,Bottom,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.75354,-1.855892,-4.419927,2287.930733,216.506763,1:15,6.06133,2.30432,7.35859,-19.99757,16.61658,11.50001,2.71365,-0.73589,78.18048,-5.712061,-2.306298,0.435508,,,,,,,,,,,,-7.32843,9.80843,-2.06304,50,5.95298,9.14617,-123.08733,-4.41296,-11.33753,22.50546,-16.99984,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,16d1e5a0-c714-11eb-8b21-2587103ee89a,86.54823,,,6.57306,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:11:05.72,2021-06-06T18:11:05.7242404-04:00,2021-06-06T22:11:05.7242404Z,,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,3e681a78-12a4-41c5-9a8e-8c54cc45b7c9,53.13986,-123.66009,11.25273,6.05978,-3.98031,-8.49992,-2.29948,9.43471,-5.66876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
129,2021-06-06,18:11:23.98,5,3,"Hickert, Grayson ",1000054732,Right,FC_OB,"Sueltz, Keegan",1000098161,Left,SPA_B,Undefined,4,Bottom,1,1,1,Curveball,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,66.42128,3.900916,-1.259778,1259.884134,278.078134,3:15,5.59081,2.88842,6.25562,-62.44653,-0.22055,14.17414,3.99048,2.90775,61.32589,-7.658,1.299031,0.56775,,,,,,,,,,,,-7.79367,-0.75358,-2.80225,50,5.84931,1.71558,-96.45197,5.04056,-7.38216,14.23012,-32.88784,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,21b97e10-c714-11eb-8b21-2587103ee89a,66.38912,,,5.09539,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:11:23.98,2021-06-06T18:11:23.9811876-04:00,2021-06-06T22:11:23.9811876Z,,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,e5f279f0-04d8-4437-8888-240ec5b85787,54.24655,-97.07647,7.11506,5.59643,6.48386,-16.44392,-2.88465,2.03955,-3.69108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
130,2021-06-06,18:11:59.31,6,1,"Hickert, Grayson ",1000054732,Right,FC_OB,"Lukac, Nick",1000106117,Right,SPA_B,Undefined,4,Bottom,1,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,FieldersChoice,2,0,,84.01302,-2.355612,-2.248065,2188.304458,222.406608,1:30,5.96714,2.59961,6.99943,-24.14678,13.25312,11.18221,1.81048,1.48662,78.2489,-6.92047,-0.198276,0.440156,75.81517,-7.162426,-38.514197,,,,,20.04366,,-38.609679,0.156526,-6.55815,7.97461,-2.4654,50,5.81435,4.4432,-122.27678,-5.62884,-10.08038,20.66836,-19.91647,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,36c0f220-c714-11eb-8b21-2587103ee89a,85.63427,2.14671,,5.76412,,,,2.1501,2.1701,-1.75382,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:11:59.31,2021-06-06T18:11:59.3156388-04:00,2021-06-06T22:11:59.3156388Z,GroundBall,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,4cbe70ef-fb53-4576-a9e2-e2e4561621b6,53.50135,-122.86718,10.33418,5.96701,-5.05991,-9.95824,-2.59644,4.73115,-5.04019,,2.1501,86.32634,,,,,,,,2.1701,-13.86413,,,,,,,,-1.75382,-68.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
131,2021-06-06,18:14:34.42,1,1,"Corn, Jacob",1000056526,Right,SPA_B,"Metz, Reed",1000098713,Right,FC_OB,Undefined,5,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.06177,-0.381205,-2.662019,2523.066838,83.104243,8:45,6.49797,1.12808,5.3115,-54.38495,0.53799,-9.15079,1.60771,-2.13484,66.90351,-10.204424,-4.287068,0.533394,,,,,,,,,,,,3.85847,0.91126,-0.8798,50,6.42407,5.19475,-104.55717,-2.41454,4.28064,17.26907,-31.16307,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,933e7770-c714-11eb-8b21-2587103ee89a,70.66527,,,5.15826,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:14:34.42,2021-06-06T18:14:34.4205092-04:00,2021-06-06T22:14:34.4205092Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,2e40ff98-6b14-41bb-b1e8-ca4f397e8c14,55.1873,-105.41044,8.63453,6.50533,-0.87476,-15.58154,-1.13125,4.98324,2.14032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
132,2021-06-06,18:14:53.72,1,2,"Corn, Jacob",1000056526,Right,SPA_B,"Metz, Reed",1000098713,Right,FC_OB,Undefined,5,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.81222,-0.63217,-0.747108,2592.23079,75.848401,8:30,6.34958,1.27385,5.0502,-54.81924,-0.88417,-9.60556,1.18501,-0.2313,67.93548,-10.473234,-2.449561,0.528575,,,,,,,,,,,,4.59268,0.19559,-1.19472,50,6.24547,1.7393,-105.78474,-2.98496,5.24447,16.73671,-31.95072,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,9eba60a0-c714-11eb-8b21-2587103ee89a,71.30949,,,4.87673,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:14:53.72,2021-06-06T18:14:53.7252644-04:00,2021-06-06T22:14:53.7252644Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,076dbf77-e774-4622-8844-ca9be052635e,55.45008,-106.64354,8.36836,6.35657,-1.3455,-15.97536,-1.27707,1.47019,2.62224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
133,2021-06-06,18:15:11.59,1,3,"Corn, Jacob",1000056526,Right,SPA_B,"Metz, Reed",1000098713,Right,FC_OB,Undefined,5,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.37078,-2.038553,-2.858296,2060.927208,241.076138,2:00,6.03076,1.61562,5.52232,-31.5884,9.93666,15.74914,1.48934,0.25356,76.17847,-7.82943,-0.050626,0.463795,,,,,,,,,,,,-8.69981,5.923,-1.37766,50,5.83201,5.33342,-119.52107,-5.31572,-12.68869,21.25162,-23.53534,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,a9600e10-c714-11eb-8b21-2587103ee89a,81.26954,,,6.1923,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:15:11.59,2021-06-06T18:15:11.5954980-04:00,2021-06-06T22:15:11.5954980Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,7cf2e203-4066-4668-9e92-09c454a23471,54.9769,-120.40274,10.62581,6.03229,-4.3393,-11.76767,-1.60985,5.85984,-6.34435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
134,2021-06-06,18:15:30.30,1,4,"Corn, Jacob",1000056526,Right,SPA_B,"Metz, Reed",1000098713,Right,FC_OB,Undefined,5,Top,0,3,0,Fastball,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,82.72594,-0.972984,-2.621152,2159.930815,247.752444,2:15,6.09573,1.40514,5.18763,-34.37994,7.198,14.65076,2.31434,0.15845,76.5408,-7.230063,-0.025477,0.464091,104.60671,32.714115,7.551275,3405.954968,108.10555,69.30572,20.32678,400.6268,,18.659621,5.922863,-8.0228,4.18504,-1.17346,50,5.97911,4.88972,-120.09443,-3.26975,-11.83063,21.14303,-26.00269,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,b480def0-c714-11eb-8b21-2587103ee89a,81.21784,112.22512,,6.18513,,,,1.49689,2.16094,-0.20897,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:15:30.30,2021-06-06T18:15:30.3075620-04:00,2021-06-06T22:15:30.3075620Z,FlyBall,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,05a8ac6d-3eba-4ef4-9e01-329878183011,55.31254,-121.02611,10.57152,6.09795,-2.12393,-13.00135,-1.40042,5.41104,-5.91531,206.198659,1.50781,127.7679,-27.79959,5.90798,-0.70646,-0.0291,0.02376,-0.00299,0.00012,2.15412,83.02559,-17.57714,1.03817,-0.19532,0.02344,0.00416,-0.00128,8E-05,-0.2111,17.00536,4.59004,-1.76661,0.38976,-0.05434,0.00482,-0.00029,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
135,2021-06-06,18:16:14.63,2,1,"Corn, Jacob",1000056526,Right,SPA_B,"Miller, Ryan",1000103286,Left,FC_OB,Undefined,5,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,83.68316,-4.351796,-5.958016,2150.053104,,,6.55483,2.43433,5.43425,,,,1.69952,-0.33261,76.91398,-6.166352,0.049127,0.459047,,,,,,,,,,,,-18.53788,17.37485,-1.92961,50,6.16111,11.18651,-120.7842,-9.39231,-27.72057,20.82879,-6.1926,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,cf27af90-c714-11eb-8b21-2587103ee89a,82.11027,,,6.76918,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:16:14.63,2021-06-06T18:16:14.6309412-04:00,2021-06-06T22:16:14.6309412Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,0a9cabb6-dd1e-4cb8-bd91-c75bdfa556fe,55.06909,-121.65521,10.4144,6.54846,-9.13335,-3.0963,-2.42164,12.34571,-13.86029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
136,2021-06-06,18:16:29.07,2,2,"Corn, Jacob",1000056526,Right,SPA_B,"Miller, Ryan",1000103286,Left,FC_OB,Undefined,5,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.64782,-1.351827,-2.451036,2162.67824,238.239157,2:00,5.84495,2.21256,5.61677,-28.47502,11.5469,16.76454,2.20903,1.32074,77.29926,-6.605398,0.542491,0.455324,,,,,,,,,,,,-9.09304,6.56327,-2.01419,50,5.71113,4.514,-121.47992,-3.80928,-13.71914,21.64754,-22.27172,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,d78f53e0-c714-11eb-8b21-2587103ee89a,82.78165,,,6.34856,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:16:29.07,2021-06-06T18:16:29.0708260-04:00,2021-06-06T22:16:29.0708260Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,6cfaaf6e-d241-4821-96b1-46028ac69b5b,54.88203,-122.34679,10.82377,5.84582,-2.9174,-11.13586,-2.20595,5.06339,-6.85957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
137,2021-06-06,18:16:44.81,2,3,"Corn, Jacob",1000056526,Right,SPA_B,"Miller, Ryan",1000103286,Left,FC_OB,Undefined,5,Top,0,1,1,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,0,0,,83.35097,-1.694187,-3.855931,2150.09835,246.581272,2:15,5.79096,2.13375,5.30697,-31.68667,9.19197,18.44375,1.55605,0.04578,77.07966,-7.480002,-0.58616,0.460171,101.57961,8.012724,4.519922,3018.401983,109.89429,9.49483,4.81211,198.27324,,1.053506,1.602248,-10.26938,5.38756,-1.79749,50,5.61377,7.3837,-120.85076,-4.69132,-15.33853,21.35627,-24.12708,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,e0ebb870-c714-11eb-8b21-2587103ee89a,81.90956,9.53815,,6.27131,,,,1.58965,1.7187,-0.02358,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:16:44.81,2021-06-06T18:16:44.8107812-04:00,2021-06-06T22:16:44.8107812Z,LineDrive,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,3cdddfa8-bb4c-4de6-a90e-759133aa4c3e,55.1935,-121.76508,10.67814,5.7925,-3.65838,-12.06354,-2.12767,8.04039,-7.66927,126.464339,1.58966,147.06891,-20.83001,4.60429,-0.85493,0.17952,-0.08584,0.03815,-0.00686,1.71869,20.76925,-13.8853,0.15444,-0.01338,-0.10762,0.1911,-0.10492,0.01958,-0.02357,11.62472,-8.6324,2.35671,-0.48332,0.15966,-0.13592,0.0684,-0.01254,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
138,2021-06-06,18:17:25.37,3,1,"Corn, Jacob",1000056526,Right,SPA_B,"Rozell, Brennan",1000016610,Right,FC_OB,Undefined,5,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.89838,0.002948,-2.276426,2473.324734,144.30166,10:45,6.23205,1.44401,5.79892,-40.81691,7.1304,-4.21583,2.83339,-1.0257,70.84121,-7.477749,-3.031317,0.498372,,,,,,,,,,,,1.62815,4.05213,-1.25436,50,6.20767,4.53685,-110.35495,-1.22692,2.04027,16.66158,-27.09625,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,f91b2070-c714-11eb-8b21-2587103ee89a,75.63116,,,5.05718,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:17:25.37,2021-06-06T18:17:25.3722916-04:00,2021-06-06T22:17:25.3722916Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,73c020b4-40e5-4446-967f-6d0099f8d8e6,54.70022,-111.06233,8.33079,6.23534,-0.07653,-13.54812,-1.44514,4.45023,1.02013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
139,2021-06-06,18:17:43.88,3,2,"Corn, Jacob",1000056526,Right,SPA_B,"Rozell, Brennan",1000016610,Right,FC_OB,Undefined,5,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.50036,-0.9041,-3.760843,2497.67351,110.38228,9:45,5.99049,1.63877,5.06294,-48.89881,4.31296,-7.45725,1.06117,-2.53399,68.40428,-9.691774,-5.07564,0.525019,,,,,,,,,,,,2.73461,2.87244,-1.27487,50,5.86567,7.28381,-106.508,-3.29472,3.16281,17.11596,-28.85182,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,04231220-c715-11eb-8b21-2587103ee89a,71.79248,,,5.09608,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:17:43.88,2021-06-06T18:17:43.8868260-04:00,2021-06-06T22:17:43.8868260Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,3ca62a64-7542-4b7d-b296-3b28ae474b47,55.43542,-107.37792,8.55798,5.99586,-1.82832,-14.42591,-1.64099,7.12306,1.5814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
140,2021-06-06,18:18:07.41,3,3,"Corn, Jacob",1000056526,Right,SPA_B,"Rozell, Brennan",1000016610,Right,FC_OB,Undefined,5,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.27307,-0.407007,-2.634904,2564.173308,142.822902,10:45,6.06774,1.5278,5.61199,-39.60801,9.43796,-5.88713,2.38678,-1.42382,69.53123,-7.711487,-3.684675,0.504049,,,,,,,,,,,,2.15965,5.43012,-1.29881,50,6.0078,5.31073,-110.52439,-2.00274,2.64619,21.4327,-25.52052,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,122c8400-c715-11eb-8b21-2587103ee89a,74.77926,,,6.74183,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:18:07.41,2021-06-06T18:18:07.4112292-04:00,2021-06-06T22:18:07.4112292Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,ce2a6615-ef3f-41f2-893f-bb029dfe54b8,54.88261,-111.46719,10.71635,6.0712,-0.88011,-12.76026,-1.52986,5.19432,1.32309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
141,2021-06-06,18:18:33.10,3,4,"Corn, Jacob",1000056526,Right,SPA_B,"Rozell, Brennan",1000016610,Right,FC_OB,Undefined,5,Top,0,1,2,Slider,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,75.45461,-0.347084,-3.216103,1757.475733,274.807649,3:15,5.85614,2.07376,5.42773,-49.96995,0.48606,14.79587,1.3664,0.29149,68.94063,-9.459735,-0.581822,0.511244,81.33715,7.695992,-20.379597,1129.281094,,,,111.20718,,-22.145689,1.014797,-8.47867,0.80681,-1.79923,50,5.79053,5.59089,-109.34145,-2.27244,-10.16377,21.04539,-31.20687,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,217cf4d0-c715-11eb-8b21-2587103ee89a,73.72695,5.17497,,6.51399,,,,2.35674,1.63505,-0.21118,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:18:33.10,2021-06-06T18:18:33.1092260-04:00,2021-06-06T22:18:33.1092260Z,GroundBall,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,b42a2aa9-86c7-4f2b-acfb-140d51064288,55.07139,-110.31324,10.52269,5.8622,-0.83143,-15.60344,-2.06823,6.06021,-5.08188,82.240897,2.41951,109.97316,-10.75272,,,,,,,1.68965,15.24597,-16.71363,,,,,,,-0.19602,-41.37467,0.24119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
142,2021-06-06,18:19:16.45,4,1,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,5,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.85321,-0.260551,-1.189143,2474.906162,129.367534,10:15,6.09928,1.51519,5.21179,-43.08805,7.99351,-7.81079,2.26355,-0.25407,68.96537,-8.110107,-2.574465,0.514403,,,,,,,,,,,,3.58197,4.54201,-1.39917,50,6.04294,2.553,-108.63921,-1.88648,4.2861,18.81514,-26.73916,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,3b5503c0-c715-11eb-8b21-2587103ee89a,73.27414,,,5.88784,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:19:16.45,2021-06-06T18:19:16.4597028-04:00,2021-06-06T22:19:16.4597028Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,7561da88-0f6b-4f4a-a86b-796a15f08b40,55.28568,-109.55081,9.40757,6.10296,-0.59096,-13.36958,-1.51783,2.34533,2.14305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
143,2021-06-06,18:19:36.36,4,2,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,5,Top,1,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,74.9366,-0.528981,-1.11495,2567.096685,125.203711,10:15,5.96007,1.63847,4.99385,-42.2388,9.10871,-10.66851,1.94063,-0.30337,69.12435,-8.191118,-2.999466,0.51574,83.99329,41.306434,-25.602233,3504.915303,96.52585,84.52912,-52.75162,285.82086,,-35.672896,5.363204,5.05048,5.08713,-1.5219,50,5.8749,2.52326,-108.75699,-2.39803,6.05804,18.80748,-26.07205,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,473701c0-c715-11eb-8b21-2587103ee89a,73.08414,101.27145,,5.81225,,,,3.57296,2.14664,0.30759,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,22:19:36.36,2021-06-06T18:19:36.3679012-04:00,2021-06-06T22:19:36.3679012Z,FlyBall,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,5d93aff4-011f-4783-98e0-eab0afc8750c,55.50542,-109.70492,9.40374,5.96264,-1.08395,-13.03603,-1.64138,2.21793,3.02902,161.381628,3.57723,83.37297,-19.34997,4.51829,-0.74291,0.08047,-0.00599,0.00049,-3E-05,2.14577,81.32187,-18.89318,1.05726,0.0374,-0.09462,0.02963,-0.00403,0.0002,0.30661,-39.96997,3.84898,-0.78605,0.10039,-0.00445,-0.00032,-1E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
